frame,time_s,X_m,Y_m,Z_m,distance_m,radius_px,cx_px,cy_px,source
132,4.3667,0.6409,-1.0350,6.9505,7.0563,14.7375,725.8605,221.3311,yolo
133,4.4000,0.6178,-1.0146,6.8596,6.9617,14.9328,723.8690,222.2615,yolo
134,4.4333,0.5997,-1.0324,7.0218,7.1225,14.5879,719.5284,223.0916,yolo
135,4.4667,0.5613,-1.0152,6.9274,7.0238,14.7866,715.4560,223.5386,yolo
136,4.5000,0.5250,-1.0183,6.9281,7.0222,14.7851,710.5594,223.1324,yolo
137,4.5333,0.4996,-1.0216,6.9166,7.0095,14.8096,707.2644,222.4625,yolo
138,4.5667,0.4691,-1.0286,6.9524,7.0438,14.7333,702.8266,222.2324,yolo
139,4.6000,0.4414,-1.0373,7.0268,7.1167,14.5774,698.4941,222.5298,yolo
140,4.6333,0.4395,-1.0751,7.2979,7.3898,14.0359,696.0846,222.8127,yolo
141,4.6667,0.4301,-1.1036,7.5041,7.5970,13.6502,693.3709,223.0485,yolo
142,4.7000,0.4180,-1.1030,7.5013,7.5934,13.6554,691.8913,223.0704,yolo
143,4.7333,0.4007,-1.1263,7.6862,7.7786,13.3268,688.5431,223.5419,yolo
144,4.7667,0.3962,-1.1152,7.6413,7.7324,13.4052,688.2881,224.0921,yolo
145,4.8000,0.3915,-1.1295,7.7538,7.8454,13.2107,687.0162,224.3548,yolo
146,4.8333,0.3921,-1.1310,7.7781,7.8697,13.1693,686.9383,224.5990,yolo
147,4.8667,0.3925,-1.1424,7.8522,7.9446,13.0451,686.5522,224.5245,yolo
148,4.9000,0.4002,-1.1592,7.9447,8.0388,12.8932,686.9124,224.1275,yolo
149,4.9333,0.4009,-1.1601,7.9444,8.0387,12.8937,686.9885,224.0197,yolo
150,4.9667,0.4128,-1.1537,7.8875,7.9821,12.9867,688.7323,223.7986,yolo
151,5.0000,0.4242,-1.1425,7.7947,7.8894,13.1414,690.6766,223.5147,yolo
152,5.0333,0.4425,-1.1346,7.7396,7.8348,13.2349,693.2355,223.4865,yolo
153,5.0667,0.4635,-1.1247,7.6646,7.7606,13.3643,696.3070,223.3539,yolo
154,5.1000,0.4900,-1.1144,7.5960,7.6929,13.4851,700.0642,223.3894,yolo
155,5.1333,0.5254,-1.1098,7.5655,7.6645,13.5395,704.6688,223.3936,yolo
156,5.1667,0.5713,-1.1120,7.5877,7.6900,13.4999,710.1088,223.5223,yolo
157,5.2000,0.6269,-1.1248,7.6640,7.7714,13.3654,716.1733,223.3280,yolo
158,5.2333,0.6644,-1.0812,7.3466,7.4554,13.9429,724.2138,222.9546,yolo
159,5.2667,0.7113,-1.0787,7.2793,7.3931,14.0717,730.9961,222.0090,yolo
160,5.3000,0.7158,-1.0178,6.8399,6.9521,14.9758,737.4527,221.4291,yolo
161,5.3333,0.7446,-0.9976,6.6892,6.8040,15.3132,743.6613,221.1237,yolo
162,5.3667,0.7302,-0.9228,6.2575,6.3672,16.3695,748.6590,222.6732,yolo
163,5.4000,0.7823,-0.9109,6.3042,6.4176,16.2482,755.5603,225.4537,yolo
164,5.4333,0.8330,-0.8923,6.3730,6.4888,16.0729,761.7196,229.6125,yolo
165,5.4667,0.8833,-0.8482,6.3356,6.4529,16.1678,769.8204,235.3338,yolo
166,5.5000,0.9348,-0.8110,6.3260,6.4459,16.1924,777.6098,240.6159,yolo
167,5.5333,0.9744,-0.7472,6.1298,6.2516,16.7105,788.0261,246.4838,yolo
