frame,time_s,det_cx,det_cy,det_radius_px,det_confidence,det_source,kf_cx,kf_cy,kf_vx,kf_vy,kf_uncertainty
131,4.3333,725.24,222.53,14.59,0.875,yolo,726.95,221.27,-88.10,2.04,1.44
132,4.3667,724.67,223.99,14.59,0.876,yolo,724.29,222.44,-87.39,4.91,1.44
133,4.4000,718.52,223.84,15.19,0.845,yolo,720.19,223.12,-90.47,6.24,1.44
134,4.4333,715.02,223.21,14.10,0.831,yolo,716.27,223.28,-92.79,6.12,1.44
135,4.4667,707.82,222.50,15.06,0.881,yolo,710.95,223.07,-98.59,5.05,1.44
136,4.5000,705.96,221.42,14.77,0.865,yolo,706.95,222.48,-100.43,3.08,1.44
137,4.5333,704.30,221.55,14.83,0.841,yolo,703.89,222.15,-99.68,1.96,1.44
138,4.5667,698.74,221.54,14.62,0.792,yolo,699.80,221.93,-101.66,1.23,1.44
139,4.6000,698.31,222.14,14.36,0.759,yolo,697.21,222.04,-99.61,1.40,1.44
140,4.6333,693.30,223.54,13.32,0.825,yolo,693.64,222.69,-100.25,2.97,1.44
141,4.6667,694.23,223.88,13.18,0.834,yolo,691.94,223.24,-96.00,4.14,1.44
142,4.7000,689.22,223.49,13.74,0.848,yolo,688.94,223.43,-95.47,4.26,1.44
143,4.7333,691.01,224.31,12.96,0.856,yolo,687.94,223.88,-89.81,5.06,1.44
144,4.7667,689.48,224.31,13.60,0.821,yolo,686.84,224.16,-84.91,5.35,1.44
145,4.8000,690.72,224.45,13.03,0.875,yolo,686.81,224.38,-77.66,5.46,1.44
146,4.8333,689.77,224.08,13.21,0.863,yolo,686.53,224.36,-71.66,4.94,1.44
147,4.8667,691.03,223.34,12.97,0.824,yolo,687.01,224.03,-64.22,3.66,1.44
148,4.9000,690.92,222.86,12.79,0.816,yolo,687.39,223.62,-57.70,2.27,1.44
149,4.9333,693.54,223.40,13.00,0.869,yolo,688.83,223.57,-48.97,1.95,1.44
150,4.9667,695.67,223.41,13.21,0.830,yolo,690.73,223.54,-39.82,1.70,1.44
151,5.0000,698.66,223.11,13.43,0.860,yolo,693.26,223.40,-29.83,1.18,1.44
152,5.0333,701.34,223.31,13.43,0.839,yolo,696.05,223.38,-20.03,1.05,1.44
153,5.0667,707.01,223.30,13.59,0.796,yolo,700.23,223.37,-7.46,0.92,1.44
154,5.1000,710.86,223.50,13.69,0.726,yolo,704.51,223.44,4.29,1.03,1.44
155,5.1333,717.70,223.48,13.64,0.815,yolo,710.09,223.48,18.37,1.03,1.44
